,brand,description,rating,ingredients,number_of_ingredients,number_of_reviews,price_USD,ingredients list,Propylparaben,Fd&c,D&C,P-Phenylenediamine,Formaldehyde,Palm Oil,Paraben,Alkyl Parahydroxy Benzoates,Cyclotetrasiloxane,Octamethylcyclotetrasiloxane,Cylcopentasiloxane,Polydimethylsiloxan,Sodium Lauryl Sulfate,Sls,Sodium Laureth Sulfate,Sles,Sodium Lauryl Sulfoacetate,Sodium Lauroyl Isoethionate,Sodium Lauroyl Taurate,Sodium Cocoyl Isoethionate,Sodium Lauroyl Methyl Isoethionate,Sodium Lauroyl Sarcosinate,Disodium Laureth Sulfosuccinate,Benzophenone,Paba,Avobenzone,Homosalate,Ethoxycinnmate,Oxybenzone,sum
0,Philosophy,purity-made-simple-one-step-facial-cleanser,4.6,"['Water', 'Sodium Lauroamphoacetate', 'Sodium Trideceth Sulfate', 'Limnanthes Alba (Meadowfoam) Seed Oil', 'Coco-Glucoside', 'Coconut Alcohol', 'PEG-120 Methyl Glucose Dioleate', 'Glycerin', 'Carbomer', 'Isopropyl Alcohol', 'Polysorbate 20', 'Citric Acid', 'Imidazolidinyl Urea', 'Methylparaben', 'Aniba Rosaeodora (Rosewood) Wood Oil', 'Propylparaben', 'Triethanolamine', 'Amyris Balsamifera Bark Oil', 'Bulnesia Sarmientoi Wood Oil', 'Cymbopogon Martini Oil', 'Pelargonium Graveolens Flower Oil', 'Rosa Centifolia Flower Oil', 'Santalum Album (Sandalwood) Oil', 'Daucus Carota Sativa (Carrot) Seed Oil', 'Mimosa Tenuiflora Bark Extract', 'Ormenis Multicaulis Oil', 'Piper Nigrum (Pepper) Fruit Oil', 'Salvia Sclarea (Clary) Oil', 'Fd&C Yellow No. 5 (Ci 19140).']",29,3881,36,"'Water', 'Sodium Lauroamphoacetate', 'Sodium Trideceth Sulfate', 'Limnanthes Alba (Meadowfoam) Seed Oil', 'Coco-Glucoside', 'Coconut Alcohol', 'PEG-120 Methyl Glucose Dioleate', 'Glycerin', 'Carbomer', 'Isopropyl Alcohol', 'Polysorbate 20', 'Citric Acid', 'Imidazolidinyl Urea', 'Methylparaben', 'Aniba Rosaeodora (Rosewood) Wood Oil', 'Propylparaben', 'Triethanolamine', 'Amyris Balsamifera Bark Oil', 'Bulnesia Sarmientoi Wood Oil', 'Cymbopogon Martini Oil', 'Pelargonium Graveolens Flower Oil', 'Rosa Centifolia Flower Oil', 'Santalum Album (Sandalwood) Oil', 'Daucus Carota Sativa (Carrot) Seed Oil', 'Mimosa Tenuiflora Bark Extract', 'Ormenis Multicaulis Oil', 'Piper Nigrum (Pepper) Fruit Oil', 'Salvia Sclarea (Clary) Oil', 'Fd&C Yellow No. 5 (Ci 19140).'",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,Dermalogica,special-cleansing-gel,4.6,"['Water/Aqua/Eau', 'Sodium Laureth Sulfate', 'Disodium Lauroamphodiacetate', 'Sodium Trideceth Sulfate', 'Hexylene Glycol', 'Hydroxyethylcellulose', 'Lavandula Angustifolia (Lavender) Extract', 'Melissa Officinalis Leaf Extract', 'Quillaja Saponaria Bark Extract', 'Lavandula Angustifolia (Lavender) Oil', 'PPG-5-Ceteth-20', 'Citric Acid', 'Sodium Chloride', 'Phenoxyethanol', 'Methylparaben', 'Propylparaben.']",16,2202,39,"'Water/Aqua/Eau', 'Sodium Laureth Sulfate', 'Disodium Lauroamphodiacetate', 'Sodium Trideceth Sulfate', 'Hexylene Glycol', 'Hydroxyethylcellulose', 'Lavandula Angustifolia (Lavender) Extract', 'Melissa Officinalis Leaf Extract', 'Quillaja Saponaria Bark Extract', 'Lavandula Angustifolia (Lavender) Oil', 'PPG-5-Ceteth-20', 'Citric Acid', 'Sodium Chloride', 'Phenoxyethanol', 'Methylparaben', 'Propylparaben.'",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2,Clinique,take-day-off-cleansing-balm,4.7,"['Ethylhexyl Palmitate', 'Carthamus Tinctorius (Safflower) Seed Oil', 'Caprylic / Capric Triglyceride', 'Sorbeth-30 Tetraoleate', 'Polyethylene', 'PEG-5 Glyceryl Triisostearate', 'Water / Aqua / Eau', 'Tocopherol', 'Phenoxyethanol.Please be aware that ingredient lists may change or vary from time to time. Please refer to the ingredient list on the product package you receive for the most up to date list of ingredients.']",9,1793,30,"'Ethylhexyl Palmitate', 'Carthamus Tinctorius (Safflower) Seed Oil', 'Caprylic / Capric Triglyceride', 'Sorbeth-30 Tetraoleate', 'Polyethylene', 'PEG-5 Glyceryl Triisostearate', 'Water / Aqua / Eau', 'Tocopherol', 'Phenoxyethanol.Please be aware that ingredient lists may change or vary from time to time. Please refer to the ingredient list on the product package you receive for the most up to date list of ingredients.'",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Clinique,liquid-facial-soap-mild,4.5,"['Water / Aqua / Eau', 'Sodium Laureth Sulfate', 'Sodium Chloride', 'Cocamidopropyl Hydroxysultaine', 'Lauramidopropyl Betaine', 'Sodium Cocoyl Sarcosinate', 'Tea-Cocoyl Glutamate', 'Di-PPG-2 Myreth-10 Adipate', 'Aloe Barbadensis Leaf Juice', 'PEG-120 Methyl Glucose Dioleate', 'Sucrose', 'Sodium Hyaluronate', 'Cetyl Triethylmonium Dimethicone PEG-8 Succinate', 'Butylene Glycol', 'Hexylene Glycol', 'Polyquaternium-7', 'Laureth-2', 'Caprylyl Glycol', 'Sodium Sulfate', 'Tocopheryl Acetate', 'EDTA', 'Disodium EDTA', 'Phenoxyethanol.Please be aware that ingredient lists may change or vary from time to time. Please refer to the ingredient list on the product package you receive for the most up to date list of ingredients.']",23,601,18,"'Water / Aqua / Eau', 'Sodium Laureth Sulfate', 'Sodium Chloride', 'Cocamidopropyl Hydroxysultaine', 'Lauramidopropyl Betaine', 'Sodium Cocoyl Sarcosinate', 'Tea-Cocoyl Glutamate', 'Di-PPG-2 Myreth-10 Adipate', 'Aloe Barbadensis Leaf Juice', 'PEG-120 Methyl Glucose Dioleate', 'Sucrose', 'Sodium Hyaluronate', 'Cetyl Triethylmonium Dimethicone PEG-8 Succinate', 'Butylene Glycol', 'Hexylene Glycol', 'Polyquaternium-7', 'Laureth-2', 'Caprylyl Glycol', 'Sodium Sulfate', 'Tocopheryl Acetate', 'EDTA', 'Disodium EDTA', 'Phenoxyethanol.Please be aware that ingredient lists may change or vary from time to time. Please refer to the ingredient list on the product package you receive for the most up to date list of ingredients.'",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,Philosophy,microdelivery-exfoliating-facial-wash,4.0,"['Aqua/Water/Eau', 'Solum Diatomeae/Diatomaceous Earth/Terre De Diatomees', 'Sodium Cocoyl Apple Amino Acids', 'Glycerin,Acrylates/Steareth-20 Methacrylate Copolymer', 'Acrylates Copolymer', 'Decyl Glucoside', 'Disodium Cocoamphodiacetate', 'Phenoxyethanol', 'Lauryl Glucoside', 'Lithium Magnesium Sodium Silicate', 'Polysorbate 20', 'Hexylene Glycol', 'Sodium Hydroxide', 'Citrus Aurantium Dulcis (Orange) Peel Extract', 'Limonene', 'Decylene Glycol', 'Ethylhexylglycerin', 'Panthenol', 'Tetrasodium Edta', '1,2-Hexanediol', 'Ascorbyl Glucoside', 'Borago Officinalis Seed Oil', 'Tocopherol', 'Helianthus Annuus (Sunflower) Seed Oil', 'Tocotrienols', 'Triolein', 'Trilinolein', 'Magnesium Nitrate', 'Methylisothiazolinone', 'Methylchloroisothiazolinone', 'Magnesium Chloride.']",31,672,28,"'Aqua/Water/Eau', 'Solum Diatomeae/Diatomaceous Earth/Terre De Diatomees', 'Sodium Cocoyl Apple Amino Acids', 'Glycerin,Acrylates/Steareth-20 Methacrylate Copolymer', 'Acrylates Copolymer', 'Decyl Glucoside', 'Disodium Cocoamphodiacetate', 'Phenoxyethanol', 'Lauryl Glucoside', 'Lithium Magnesium Sodium Silicate', 'Polysorbate 20', 'Hexylene Glycol', 'Sodium Hydroxide', 'Citrus Aurantium Dulcis (Orange) Peel Extract', 'Limonene', 'Decylene Glycol', 'Ethylhexylglycerin', 'Panthenol', 'Tetrasodium Edta', '1,2-Hexanediol', 'Ascorbyl Glucoside', 'Borago Officinalis Seed Oil', 'Tocopherol', 'Helianthus Annuus (Sunflower) Seed Oil', 'Tocotrienols', 'Triolein', 'Trilinolein', 'Magnesium Nitrate', 'Methylisothiazolinone', 'Methylchloroisothiazolinone', 'Magnesium Chloride.'",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,It Cosmetics,confidence-in-a-cleanser,4.5,"['Aqua/Water/Eau', 'Disodium Cocoamphodiacetate', 'Glycerin', 'Acrylates Copolymer', 'Sodium Chloride', '1,2-Hexanediol', 'PEG-7 Glyceryl Cocoate', 'Arginine Cocoate', 'Cocamidopropyl Betaine', 'PEG-120 Methyl Glucose Dioleate', 'Styrene/Acrylates Copolymer', 'Potassium Cocoyl Glycinate', 'Coco-Glucoside', 'Citric Acid', 'Hexylene Glycol', 'Portulaca Oleracea Extract', 'Limnanthes Alba (Meadowfoam) Seed Oil', 'Allantoin', 'Xanthan Gum', 'Cymbopogon Martini Oil', 'Pelargonium Graveolens Flower Oil', 'Citrus Paradisi (Grapefruit) Peel Oil', 'Lavandula Angustifolia (Lavender) Oil', 'Citrus Sinensis Peel Oil Expressed', 'Butylene Glycol', 'Hydrolyzed Collagen', 'Ethylhexylglycerin', 'Niacinamide', 'Camellia Sinensis Leaf Extract', 'Tocopheryl Acetate', 'Ascorbyl Tetraisopalmitate', 'Glycyrrhiza Glabra (Licorice) Root Extract', 'Chamomilla Recutita (Matricaria) Flower Water', 'Colloidal Oatmeal', 'Leuconostoc/Radish Root Ferment Filtrate', 'Aloe Barbadensis Leaf Extract', 'Curcuma Longa (Turmeric) Root Extract', 'Melaleuca Alternifolia (Tea Tree) Leaf Oil', 'Glyceryl Stearate', 'Palmitic Acid', 'Stearic Acid', 'Phytosteryl/Isostearyl/Cetyl/Stearyl/Behenyl Dimer Dilinoleate', 'Hydrogenated Polydecene', 'Ceramide Np', 'Butyrospermum Parkii (Shea) Butter', 'Ceteareth-20', 'Glyceryl Citrate/Lactate/Linoleate/Oleate', 'Hydroxypropyl Bispalmitamide Mea', 'Glycosphingolipids', 'Glycine Soja (Soybean) Sterols', 'Meadowfoam Estolide', 'Ceramide Ap', 'Ethylhexyl Isonanoate', 'Squalane', 'Sodium Hyaluronate', 'Polysorbate 20', 'Carbomer', 'Palmitoyl Pentapeptide-4', 'Steareth-20', 'Chrysin', 'Palmitoyl Tripeptide-1', 'Palmitoyl Tetrapeptide-7', 'N-Hydroxysuccinimide', 'Disodium EDTA', 'Benzoic Acid', 'Phenoxyethanol', 'Potassium Sorbate', 'Chlorhexidine Digluconate', 'FD&C Yellow No. 5 (CI 19140).']",69,467,28,"'Aqua/Water/Eau', 'Disodium Cocoamphodiacetate', 'Glycerin', 'Acrylates Copolymer', 'Sodium Chloride', '1,2-Hexanediol', 'PEG-7 Glyceryl Cocoate', 'Arginine Cocoate', 'Cocamidopropyl Betaine', 'PEG-120 Methyl Glucose Dioleate', 'Styrene/Acrylates Copolymer', 'Potassium Cocoyl Glycinate', 'Coco-Glucoside', 'Citric Acid', 'Hexylene Glycol', 'Portulaca Oleracea Extract', 'Limnanthes Alba (Meadowfoam) Seed Oil', 'Allantoin', 'Xanthan Gum', 'Cymbopogon Martini Oil', 'Pelargonium Graveolens Flower Oil', 'Citrus Paradisi (Grapefruit) Peel Oil', 'Lavandula Angustifolia (Lavender) Oil', 'Citrus Sinensis Peel Oil Expressed', 'Butylene Glycol', 'Hydrolyzed Collagen', 'Ethylhexylglycerin', 'Niacinamide', 'Camellia Sinensis Leaf Extract', 'Tocopheryl Acetate', 'Ascorbyl Tetraisopalmitate', 'Glycyrrhiza Glabra (Licorice) Root Extract', 'Chamomilla Recutita (Matricaria) Flower Water', 'Colloidal Oatmeal', 'Leuconostoc/Radish Root Ferment Filtrate', 'Aloe Barbadensis Leaf Extract', 'Curcuma Longa (Turmeric) Root Extract', 'Melaleuca Alternifolia (Tea Tree) Leaf Oil', 'Glyceryl Stearate', 'Palmitic Acid', 'Stearic Acid', 'Phytosteryl/Isostearyl/Cetyl/Stearyl/Behenyl Dimer Dilinoleate', 'Hydrogenated Polydecene', 'Ceramide Np', 'Butyrospermum Parkii (Shea) Butter', 'Ceteareth-20', 'Glyceryl Citrate/Lactate/Linoleate/Oleate', 'Hydroxypropyl Bispalmitamide Mea', 'Glycosphingolipids', 'Glycine Soja (Soybean) Sterols', 'Meadowfoam Estolide', 'Ceramide Ap', 'Ethylhexyl Isonanoate', 'Squalane', 'Sodium Hyaluronate', 'Polysorbate 20', 'Carbomer', 'Palmitoyl Pentapeptide-4', 'Steareth-20', 'Chrysin', 'Palmitoyl Tripeptide-1', 'Palmitoyl Tetrapeptide-7', 'N-Hydroxysuccinimide', 'Disodium EDTA', 'Benzoic Acid', 'Phenoxyethanol', 'Potassium Sorbate', 'Chlorhexidine Digluconate', 'FD&C Yellow No. 5 (CI 19140).'",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,Dermalogica,clearing-skin-wash,4.5,"['Salicylic Acid (0.5%)', 'Water (Aqua)', 'Sodium C14-16 Olefin Sulfonate', 'Cocamidopropyl Betaine', 'PEG-3 Glyceryl Cocoate', 'Sodium Lauroyl Oat Amino Acids', 'Melissa Officinalis Leaf Extract', 'Quillaja Saponaria Bark Extract', 'Echinacea Purpurea Extract', 'Arnica Montana Flower Extract', 'Citrus Aurantium Bergamia (Bergamot) Fruit Extract', 'Arctium Majus Root Extract', 'Calendula Officinalis Flower Extract', 'Chamomilla Recutita (Matricaria) Flower Extract', 'Eucalyptus Globulus Leaf Extract', 'Taraxasum Officinale (Dandelion) Rhyizome/Root Extract', 'Hydrastis Canadensis (Golden Seal) Extract', 'Glycyrrhiza Glabra (Licorice) Root Extract', 'Citrus Medica Limonum (Lemon) Peel Extract', 'Silybum Marianum Fruit Extract', 'Melaleuca Alternifolia (Tea Tree) Leaf Oil', 'Sodium PCA', 'Lactic Acid', 'Camphor', 'Menthol', 'Butylene Glycol', 'PEG-150 Pentaerythrityl Tetrastearate', 'PEG-6 Caprylic/Capric Glycerides', 'Tetrasodium EDTA', 'Phenoxyethanol', 'Caprylyl Glycol', 'Chlorphenesin', 'Diammonium Copper EDTA.Dermalogica is dedicated to maintaining the accuracy of the ingredient lists on this website. However', 'because ingredients are subject to change', 'we cannot guarantee that these lists are complete', 'up-to-date and/or error-free. For an accurate listing of ingredients in each product', 'please refer to your product packaging.']",37,910,39,"'Salicylic Acid (0.5%)', 'Water (Aqua)', 'Sodium C14-16 Olefin Sulfonate', 'Cocamidopropyl Betaine', 'PEG-3 Glyceryl Cocoate', 'Sodium Lauroyl Oat Amino Acids', 'Melissa Officinalis Leaf Extract', 'Quillaja Saponaria Bark Extract', 'Echinacea Purpurea Extract', 'Arnica Montana Flower Extract', 'Citrus Aurantium Bergamia (Bergamot) Fruit Extract', 'Arctium Majus Root Extract', 'Calendula Officinalis Flower Extract', 'Chamomilla Recutita (Matricaria) Flower Extract', 'Eucalyptus Globulus Leaf Extract', 'Taraxasum Officinale (Dandelion) Rhyizome/Root Extract', 'Hydrastis Canadensis (Golden Seal) Extract', 'Glycyrrhiza Glabra (Licorice) Root Extract', 'Citrus Medica Limonum (Lemon) Peel Extract', 'Silybum Marianum Fruit Extract', 'Melaleuca Alternifolia (Tea Tree) Leaf Oil', 'Sodium PCA', 'Lactic Acid', 'Camphor', 'Menthol', 'Butylene Glycol', 'PEG-150 Pentaerythrityl Tetrastearate', 'PEG-6 Caprylic/Capric Glycerides', 'Tetrasodium EDTA', 'Phenoxyethanol', 'Caprylyl Glycol', 'Chlorphenesin', 'Diammonium Copper EDTA.Dermalogica is dedicated to maintaining the accuracy of the ingredient lists on this website. However', 'because ingredients are subject to change', 'we cannot guarantee that these lists are complete', 'up-to-date and/or error-free. For an accurate listing of ingredients in each product', 'please refer to your product packaging.'",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Tula,purifying-face-cleanser,4.3,"['Aqua/Water/Eau', 'Cocamidopropyl Betaine', 'PEG-80 Sorbitan Laurate', 'Sodium Trideceth Sulfate', 'Lauryl Glucoside', 'Glycerin', 'PEG-150 Distearate', 'Lactose', 'Milk Protein', 'Bifida Ferment Lysate', 'Yogurt Extract', 'Hydrolyzed Rice Protein', 'Cichorium Intybus (Chicory) Root Extract', 'Vaccinium Angustifolium (Blueberry) Fruit Extract', 'Olus/Vegetable Oil/Huile Végétale', 'Camelina Sativa Seed Oil', 'Camellia Sinensis Leaf Extract', 'Curcuma Longa (Turmeric) Root Extract', 'Tocopheryl Acetate', 'Retinyl Palmitate', 'Ascorbyl Palmitate', 'Panthenol', 'Carthamus Tinctorius (Safflower) Seed Oil', 'Polyquaternium-10', 'Butylene Glycol', 'Sodium Chloride', 'Pentylene Glycol', 'Caprylyl Glycol', 'Ethylhexylglycerin', 'Bulnesia Sarmientoi Wood Oil', 'Citrus Limon (Lemon) Fruit Oil', 'Citrus Aurantium Dulcis (Orange) Oil', 'Juniperus Mexicana Oil', 'Cananga Odorata Flower Oil', 'Fragrance (Parfum)', 'Sorbic Acid', 'Phenoxyethanol', 'Disodium EDTA', 'Methylchloroisothiazolinone', 'Methylisothiazolinone', 'Alpha-Isomethyl Ionone', 'Butylphenyl Methylpropional', 'Linalool.']",43,225,28,"'Aqua/Water/Eau', 'Cocamidopropyl Betaine', 'PEG-80 Sorbitan Laurate', 'Sodium Trideceth Sulfate', 'Lauryl Glucoside', 'Glycerin', 'PEG-150 Distearate', 'Lactose', 'Milk Protein', 'Bifida Ferment Lysate', 'Yogurt Extract', 'Hydrolyzed Rice Protein', 'Cichorium Intybus (Chicory) Root Extract', 'Vaccinium Angustifolium (Blueberry) Fruit Extract', 'Olus/Vegetable Oil/Huile Végétale', 'Camelina Sativa Seed Oil', 'Camellia Sinensis Leaf Extract', 'Curcuma Longa (Turmeric) Root Extract', 'Tocopheryl Acetate', 'Retinyl Palmitate', 'Ascorbyl Palmitate', 'Panthenol', 'Carthamus Tinctorius (Safflower) Seed Oil', 'Polyquaternium-10', 'Butylene Glycol', 'Sodium Chloride', 'Pentylene Glycol', 'Caprylyl Glycol', 'Ethylhexylglycerin', 'Bulnesia Sarmientoi Wood Oil', 'Citrus Limon (Lemon) Fruit Oil', 'Citrus Aurantium Dulcis (Orange) Oil', 'Juniperus Mexicana Oil', 'Cananga Odorata Flower Oil', 'Fragrance (Parfum)', 'Sorbic Acid', 'Phenoxyethanol', 'Disodium EDTA', 'Methylchloroisothiazolinone', 'Methylisothiazolinone', 'Alpha-Isomethyl Ionone', 'Butylphenyl Methylpropional', 'Linalool.'",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Clinique,acne-solutions-cleansing-foam,4.6,"['Active: 2.0% Salicylic Acid. Inactive: Water / Aqua / Eau', 'Glycerin', 'Butylene Glycol', 'Sodium Methyl Cocoyl Taurate', 'Sucrose', 'Disodium Phosphate', 'Arginine Cocoate', 'Laminaria Saccharina Extract', 'Cola Nitida (Kola) Seed Extract', 'Caffeine', 'Algae Extract', 'Mentha Piperita (Peppermint)', 'Sea Whip Extract', 'PEG / PPG-18 / 18 Dimethicone', 'Sodium Hyaluronate', 'PPG-6 Decyltetradeceth-30', 'Lactobacillus Ferment', 'Stearamidopropyl Dimethylamine', 'Longifolene', 'Acetyl Glucosamine', 'Capryloyl Glycine', 'Perilla Aldehyde', '10-Hydroxydecanoic Acid', 'Polyquaternium-7', 'Beta-Caryophyllene', 'Phospholipids', 'Sodium Stearate', 'Sodium Salicylate', 'Disodium EDTA', 'Phenoxyethanol', 'Chloroxylenol.Please be aware that ingredient lists may change or vary from time to time. Please refer to the ingredient list on the product package you receive for the most up to date list of ingredients.']",31,1006,22,"'Active: 2.0% Salicylic Acid. Inactive: Water / Aqua / Eau', 'Glycerin', 'Butylene Glycol', 'Sodium Methyl Cocoyl Taurate', 'Sucrose', 'Disodium Phosphate', 'Arginine Cocoate', 'Laminaria Saccharina Extract', 'Cola Nitida (Kola) Seed Extract', 'Caffeine', 'Algae Extract', 'Mentha Piperita (Peppermint)', 'Sea Whip Extract', 'PEG / PPG-18 / 18 Dimethicone', 'Sodium Hyaluronate', 'PPG-6 Decyltetradeceth-30', 'Lactobacillus Ferment', 'Stearamidopropyl Dimethylamine', 'Longifolene', 'Acetyl Glucosamine', 'Capryloyl Glycine', 'Perilla Aldehyde', '10-Hydroxydecanoic Acid', 'Polyquaternium-7', 'Beta-Caryophyllene', 'Phospholipids', 'Sodium Stearate', 'Sodium Salicylate', 'Disodium EDTA', 'Phenoxyethanol', 'Chloroxylenol.Please be aware that ingredient lists may change or vary from time to time. Please refer to the ingredient list on the product package you receive for the most up to date list of ingredients.'",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Dermalogica,ultracalming-cleanser,0.0,"['Water/Aqua/Eau', 'Cetearyl Alcohol', 'Bisabolol', 'Zingiber Officinale (Ginger) Root Extract', 'Leuconostoc/Radish Root Ferment Filtrate', 'Glycerin', 'Avena Sativa (Oat) Kernel Extract', 'Cucumis Sativus (Cucumber) Fruit Extract', 'Rubus Idaeus (Raspberry) Fruit Extract', 'Lavandula Angustifolia (Lavender) Flower Extract', 'Salix Alba Bark Extract', 'Usnea Barbata (Lichen) Extract', 'Butylene Glycol ', 'Pentylene Glycol ', 'Hydroxyphenyl ', 'ropamidobenzoic Acid', 'Citrus Medica Limonum (Lemon) Fruit Extract', 'Fumaria Officinalis Flower/Leaf/Stem Extract', 'Fumaric Acid', 'Echinacea Purpurea Extract', 'Panthenol', 'Acrylates/ C10-30 Alkyl Acrylate', 'rosspolymer', 'Cocamidopropyl PG-Dimonium Chloride Phosphate', 'Disodium Lauryl Sulfosuccinate', 'Cetrimonium Chloride', 'Aminomethyl Propanol', 'Glyceryl Caprylate', 'Disodium EDTA.']",29,182,39,"'Water/Aqua/Eau', 'Cetearyl Alcohol', 'Bisabolol', 'Zingiber Officinale (Ginger) Root Extract', 'Leuconostoc/Radish Root Ferment Filtrate', 'Glycerin', 'Avena Sativa (Oat) Kernel Extract', 'Cucumis Sativus (Cucumber) Fruit Extract', 'Rubus Idaeus (Raspberry) Fruit Extract', 'Lavandula Angustifolia (Lavender) Flower Extract', 'Salix Alba Bark Extract', 'Usnea Barbata (Lichen) Extract', 'Butylene Glycol ', 'Pentylene Glycol ', 'Hydroxyphenyl ', 'ropamidobenzoic Acid', 'Citrus Medica Limonum (Lemon) Fruit Extract', 'Fumaria Officinalis Flower/Leaf/Stem Extract', 'Fumaric Acid', 'Echinacea Purpurea Extract', 'Panthenol', 'Acrylates/ C10-30 Alkyl Acrylate', 'rosspolymer', 'Cocamidopropyl PG-Dimonium Chloride Phosphate', 'Disodium Lauryl Sulfosuccinate', 'Cetrimonium Chloride', 'Aminomethyl Propanol', 'Glyceryl Caprylate', 'Disodium EDTA.'",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,The Ordinary,squalane-cleanser,4.8,"['Squalane', 'Aqua (Water)', 'Coco-Caprylate/Caprate', 'Glycerin', 'Sucrose Stearate', 'Ethyl Macadamiate', 'Caprylic/Capric Triglyceride', 'Sucrose Laurate', 'Hydrogenated Starch Hydrolysate', 'Sucrose Dilaurate', 'Sucrose Trilaurate', 'Polyacrylate Crosspolymer-6', 'Isoceteth-20', 'Sodium Polyacrylate', 'Tocopherol', 'Hydroxymethoxyphenyl Decanone', 'Trisodium Ethylenediamine Disuccinate', 'Malic Acid', 'Ethylhexylglycerin', 'Chlorphenesin.']",20,50,7,"'Squalane', 'Aqua (Water)', 'Coco-Caprylate/Caprate', 'Glycerin', 'Sucrose Stearate', 'Ethyl Macadamiate', 'Caprylic/Capric Triglyceride', 'Sucrose Laurate', 'Hydrogenated Starch Hydrolysate', 'Sucrose Dilaurate', 'Sucrose Trilaurate', 'Polyacrylate Crosspolymer-6', 'Isoceteth-20', 'Sodium Polyacrylate', 'Tocopherol', 'Hydroxymethoxyphenyl Decanone', 'Trisodium Ethylenediamine Disuccinate', 'Malic Acid', 'Ethylhexylglycerin', 'Chlorphenesin.'",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Murad,ahabha-exfoliating-cleanser,4.7,"['Water (Aqua)', 'Sodium Laureth Sulfate', 'Cocamidopropyl Betaine', 'Jojoba Esters', 'Acrylates Copolymer', 'Glycol Stearate', 'Butylene Glycol', 'Sodium PCA', 'Dipotassium Glycyrrhizate', 'Sodium Ascorbyl Phosphate', 'Glycolic Acid', 'Lactic Acid', 'Salicylic Acid', 'Polyquaternium-4', 'Sodium Hydroxide', 'Sodium Chloride', 'Citric Acid', 'Disodium EDTA', 'Phenoxyethanol', 'Methylparaben', 'Propylparaben.']",21,223,40,"'Water (Aqua)', 'Sodium Laureth Sulfate', 'Cocamidopropyl Betaine', 'Jojoba Esters', 'Acrylates Copolymer', 'Glycol Stearate', 'Butylene Glycol', 'Sodium PCA', 'Dipotassium Glycyrrhizate', 'Sodium Ascorbyl Phosphate', 'Glycolic Acid', 'Lactic Acid', 'Salicylic Acid', 'Polyquaternium-4', 'Sodium Hydroxide', 'Sodium Chloride', 'Citric Acid', 'Disodium EDTA', 'Phenoxyethanol', 'Methylparaben', 'Propylparaben.'",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
